#{"t_start": 1715282106.299728, "env_id": "None"}
r,l,t
-598.083844,7,3.134027
-1000.0,1,3.134565
-908.924324,4,3.136556
-1000.0,1,3.137089
-1000.0,1,3.137623
-810.031581,5,3.140083
-787.257648,4,3.142086
-942.871743,3,3.143578
-1000.0,1,3.144105
-900.0,2,3.145121
-800.481418,4,3.147124
-917.514821,5,3.149603
-923.40224,5,3.152084
-881.043168,3,3.153606
-998.750801,2,3.15464
-974.87889,2,3.155669
-711.688117,4,3.157676
-900.0,2,3.158702
-724.47305,7,3.162144
-385.13796,11,3.167592
-1000.0,1,3.168124
-900.0,2,3.169149
-795.902725,4,3.171149
-746.867413,10,3.176038
-616.25272,6,3.178979
-900.0,2,3.180005
-1000.0,1,3.180539
-959.37047,3,3.182036
-1000.0,1,3.18257
-1000.0,1,3.183102
-993.756578,3,3.184606
-900.0,2,3.18563
-904.406862,5,3.188108
-958.209118,3,3.189615
-722.054555,4,3.191602
-964.914131,4,3.193585
-1000.0,1,3.194117
-900.0,2,3.195131
-1000.0,1,3.195661
-869.724459,3,3.197168
-719.40096,5,3.199661
-800.0,3,3.201158
-689.82529,6,3.204118
-831.076817,3,3.205628
-897.344914,4,3.207619
-1000.0,1,3.208151
-1000.0,1,3.208679
-902.385057,2,3.209698
-800.0,3,3.211196
-900.0,2,3.212207
-741.830371,4,3.214216
-1000.0,1,3.214752
-756.529436,7,3.218214
-810.828601,3,3.219712
-1000.0,1,3.220245
-1000.0,1,3.22077
-909.107229,3,3.222272
-975.642433,2,3.223289
-800.0,3,3.22479
-900.0,2,3.225808
-1000.0,1,3.226335
-964.682994,2,3.227354
-856.750866,3,3.228857
-800.146529,4,3.230854
-476.810205,8,3.234792
-996.258226,3,3.236299
-579.57996,8,3.240213
-513.799862,9,3.244617
-697.533893,5,3.247096
-744.944838,7,3.250537
-990.366433,2,3.251555
-851.849073,5,3.254036
-819.659122,6,3.256987
-853.291348,3,3.258498
-865.479824,4,3.260479
-643.434596,8,3.264441
-800.0,3,3.265952
-814.989955,4,3.267955
-907.534822,3,3.269464
-990.535902,3,3.270977
-996.331332,2,3.272001
-681.624925,6,3.274976
-889.106206,3,3.276479
-527.312344,10,3.282073
-900.0,2,3.283143
-922.648184,4,3.285185
-1000.0,1,3.285735
-873.612209,3,3.287242
-802.304474,5,3.289711
-1000.0,1,3.290242
-687.884309,6,3.293411
-979.944835,2,3.294453
-984.291953,2,3.295478
-900.0,2,3.296496
-900.0,2,3.297507
-900.0,2,3.298523
-1000.0,1,3.299051
-749.731297,5,3.301526
-900.0,2,3.302547
-881.209742,4,3.304523
-500.0,6,3.307492
-1000.0,1,3.308023
